codigo;descripcion_aperturas;clasificador;periodo;indice_ipc;v_m_ipc;v_i_a_ipc;region
01.1.8;Azúcar, dulces, chocolate, golosinas, etc.;Clase;2016-12-01;100,0000;NA;NA;Pampeana
01.1.8;Azúcar, dulces, chocolate, golosinas, etc.;Clase;2016-12-01;100,0000;NA;NA;Noreste
01.1.8;Azúcar, dulces, chocolate, golosinas, etc.;Clase;2016-12-01;100,0000;NA;NA;Noroeste
01.1.8;Azúcar, dulces, chocolate, golosinas, etc.;Clase;2016-12-01;100,0000;NA;NA;Cuyo
01.1.8;Azúcar, dulces, chocolate, golosinas, etc.;Clase;2016-12-01;100,0000;NA;NA;Patagonia
01.2.1;Café, té, yerba y cacao;Clase;2016-12-01;100,0000;NA;NA;Pampeana
01.2.1;Café, té, yerba y cacao;Clase;2016-12-01;100,0000;NA;NA;Noreste
01.2.1;Café, té, yerba y cacao;Clase;2016-12-01;100,0000;NA;NA;Noroeste
01.2.1;Café, té, yerba y cacao;Clase;2016-12-01;100,0000;NA;NA;Cuyo
01.2.1;Café, té, yerba y cacao;Clase;2016-12-01;100,0000;NA;NA;Patagonia
01.2.2;Aguas minerales, bebidas gaseosas y jugos;Clase;2016-12-01;100,0000;NA;NA;Pampeana
01.2.2;Aguas minerales, bebidas gaseosas y jugos;Clase;2016-12-01;100,0000;NA;NA;Noreste
01.2.2;Aguas minerales, bebidas gaseosas y jugos;Clase;2016-12-01;100,0000;NA;NA;Noroeste
01.2.2;Aguas minerales, bebidas gaseosas y jugos;Clase;2016-12-01;100,0000;NA;NA;Cuyo
01.2.2;Aguas minerales, bebidas gaseosas y jugos;Clase;2016-12-01;100,0000;NA;NA;Patagonia
04.1.1;Alquiler de la vivienda;Clase;2016-12-01;100,0000;NA;NA;Pampeana
04.1.1;Alquiler de la vivienda;Clase;2016-12-01;100,0000;NA;NA;Noreste
04.1.1;Alquiler de la vivienda;Clase;2016-12-01;100,0000;NA;NA;Noroeste
04.1.1;Alquiler de la vivienda;Clase;2016-12-01;100,0000;NA;NA;Cuyo
04.1.1;Alquiler de la vivienda;Clase;2016-12-01;100,0000;NA;NA;Patagonia
06.4.1;Gastos de prepagas;Clase;2016-12-01;100,0000;NA;NA;Pampeana
06.4.1;Gastos de prepagas;Clase;2016-12-01;100,0000;NA;NA;Noreste
06.4.1;Gastos de prepagas;Clase;2016-12-01;100,0000;NA;NA;Noroeste
06.4.1;Gastos de prepagas;Clase;2016-12-01;100,0000;NA;NA;Cuyo
06.4.1;Gastos de prepagas;Clase;2016-12-01;100,0000;NA;NA;Patagonia
07.2.2;Combustibles y lubricantes para vehículos de uso del hogar;Clase;2016-12-01;100,0000;NA;NA;Pampeana
07.2.2;Combustibles y lubricantes para vehículos de uso del hogar;Clase;2016-12-01;100,0000;NA;NA;Noreste
07.2.2;Combustibles y lubricantes para vehículos de uso del hogar;Clase;2016-12-01;100,0000;NA;NA;Noroeste
07.2.2;Combustibles y lubricantes para vehículos de uso del hogar;Clase;2016-12-01;100,0000;NA;NA;Cuyo
07.2.2;Combustibles y lubricantes para vehículos de uso del hogar;Clase;2016-12-01;100,0000;NA;NA;Patagonia
0;Nivel general;Nivel general;2016-12-01;100,0000;NA;NA;GBA
01;Alimentos y bebidas no alcohólicas;Divisiones;2016-12-01;100,0000;NA;NA;GBA
02;Bebidas alcohólicas y tabaco;Divisiones;2016-12-01;100,0000;NA;NA;GBA
03;Prendas de vestir y calzado;Divisiones;2016-12-01;100,0000;NA;NA;GBA
04;Vivienda, agua, electricidad, gas y otros combustibles;Divisiones;2016-12-01;100,0000;NA;NA;GBA
05;Equipamiento y mantenimiento del hogar;Divisiones;2016-12-01;100,0000;NA;NA;GBA
06;Salud;Divisiones;2016-12-01;100,0000;NA;NA;GBA
07;Transporte;Divisiones;2016-12-01;100,0000;NA;NA;GBA
08;Comunicación;Divisiones;2016-12-01;100,0000;NA;NA;GBA
09;Recreación y cultura;Divisiones;2016-12-01;100,0000;NA;NA;GBA
10;Educación;Divisiones;2016-12-01;100,0000;NA;NA;GBA
11;Restaurantes y hoteles;Divisiones;2016-12-01;100,0000;NA;NA;GBA
12;Bienes y servicios varios;Divisiones;2016-12-01;100,0000;NA;NA;GBA
01.1;Alimentos;Grupos;2016-12-01;100,0000;NA;NA;GBA
01.2;Bebidas no alcohólicas;Grupos;2016-12-01;100,0000;NA;NA;GBA
02.1;Bebidas alcohólicas;Grupos;2016-12-01;100,0000;NA;NA;GBA
02.2;Tabaco;Grupos;2016-12-01;100,0000;NA;NA;GBA
03.1;Prendas de vestir y materiales;Grupos;2016-12-01;100,0000;NA;NA;GBA
03.2;Calzado;Grupos;2016-12-01;100,0000;NA;NA;GBA
04.1;Alquiler de la vivienda y gastos conexos;Grupos;2016-12-01;100,0000;NA;NA;GBA
04.3;Mantenimiento y reparación de la vivienda;Grupos;2016-12-01;100,0000;NA;NA;GBA
04.5;Electricidad, gas y otros combustibles;Grupos;2016-12-01;100,0000;NA;NA;GBA
05.6;Bienes y servicios para la conservación del hogar;Grupos;2016-12-01;100,0000;NA;NA;GBA
06.1;Productos medicinales, artefactos y equipos para la salud;Grupos;2016-12-01;100,0000;NA;NA;GBA
07.1;Adquisición de vehículos;Grupos;2016-12-01;100,0000;NA;NA;GBA
07.2;Funcionamiento de equipos de transporte personal;Grupos;2016-12-01;100,0000;NA;NA;GBA
07.3;Transporte público;Grupos;2016-12-01;100,0000;NA;NA;GBA
08.3;Servicios de telefonía e internet;Grupos;2016-12-01;100,0000;NA;NA;GBA
09.1;Equipos audiovisuales, fotográficos y de procesamiento de la información;Grupos;2016-12-01;100,0000;NA;NA;GBA
09.4;Servicios recreativos y culturales;Grupos;2016-12-01;100,0000;NA;NA;GBA
09.5;Periódicos, diarios, revistas, libros y artículos de papelería;Grupos;2016-12-01;100,0000;NA;NA;GBA
11.1;Restaurantes y comidas fuera del hogar;Grupos;2016-12-01;100,0000;NA;NA;GBA
12.1;Cuidado personal;Grupos;2016-12-01;100,0000;NA;NA;GBA
01.1.1;Pan y cereales;Clase;2016-12-01;100,0000;NA;NA;GBA
01.1.2;Carnes y derivados;Clase;2016-12-01;100,0000;NA;NA;GBA
01.1.4;Leche, productos lácteos y huevos;Clase;2016-12-01;100,0000;NA;NA;GBA
01.1.5;Aceites, grasas y manteca;Clase;2016-12-01;100,0000;NA;NA;GBA
01.1.6;Frutas;Clase;2016-12-01;100,0000;NA;NA;GBA
01.1.7;Verduras, tubérculos y legumbres;Clase;2016-12-01;100,0000;NA;NA;GBA
01.1.8;Azúcar, dulces, chocolate, golosinas, etc.;Clase;2016-12-01;100,0000;NA;NA;GBA
01.2.1;Café, té, yerba y cacao;Clase;2016-12-01;100,0000;NA;NA;GBA
01.2.2;Aguas minerales, bebidas gaseosas y jugos;Clase;2016-12-01;100,0000;NA;NA;GBA
04.1.1;Alquiler de la vivienda;Clase;2016-12-01;100,0000;NA;NA;GBA
